datetime_utc, _conds, _dewptm, _fog, _hail, _hum, _precipm, _pressurem, _rain, _snow, _tempm, _thunder, _tornado, _wdire
20100101-00:00,Partial Fog,8,1,0,93,,1016,0,0,8,0,0,West
20100101-03:00,Partial Fog,8,1,0,95,,1018,0,0,9,0,0,
20100101-06:00,Smoke,11,0,0,55,,1018,0,0,18,0,0,WNW
20100101-09:00,Smoke,11,0,0,43,,1016,0,0,21,0,0,NW
20100101-12:00,Smoke,12,0,0,54,,1016,0,0,19,0,0,
20100101-15:00,Mist,13,0,0,95,,1018,0,0,13,0,0,
20100101-18:00,Patches of Fog,10,1,0,92,,1019,0,0,11,0,0,
20100101-21:00,Light Fog,10,1,0,98,,1019,0,0,10,0,0,ESE
20100102-00:00,Heavy Fog,9,1,0,96,,1019,0,0,9,0,0,
20100102-03:00,Heavy Fog,10,1,0,98,,1021,0,0,10,0,0,SE
20100102-06:00,Heavy Fog,10,1,0,90,,1022,0,0,11,0,0,SSW
20100102-09:00,Partial Fog,11,1,0,75,,1020,0,0,14,0,0,East
20100102-12:00,Heavy Fog,12,1,0,89,,1020,0,0,13,0,0,
20100102-15:00,Heavy Fog,10,1,0,95,,1021,0,0,10,0,0,
20100102-18:00,Heavy Fog,11,1,0,95,,1021,0,0,11,0,0,
20100102-21:00,Heavy Fog,11,1,0,97,,1019,0,0,11,0,0,ESE
20100103-00:00,Heavy Fog,11,1,0,95,,1019,0,0,11,0,0,SW
20100103-03:00,Partial Fog,10,1,0,87,,1019,0,0,11,0,0,
20100103-06:00,Heavy Fog,11,1,0,76,,1020,0,0,14,0,0,WSW
20100103-09:00,Light Drizzle,13,0,0,87,,1018,1,0,14,0,0,WNW
20100103-12:00,Light Rain,13,0,0,97,,1019,1,0,13,0,0,NNW
20100103-15:00,Mist,10,0,0,94,,1019,0,0,11,0,0,
20100103-18:00,Mist,10,0,0,94,,1019,0,0,11,0,0,
20100103-21:00,Partial Fog,10,1,0,92,,1019,0,0,11,0,0,NW
20100104-00:00,Mist,9,0,0,95,,1018,0,0,10,0,0,NW
20100104-03:00,Mist,9,0,0,88,,1020,0,0,10,0,0,WNW
20100104-06:00,Mist,9,0,0,88,,1021,0,0,11,0,0,NW
20100104-09:00,Mist,10,0,0,73,,1017,0,0,13,0,0,WNW
20100104-12:00,Mist,10,0,0,77,,1016,0,0,13,0,0,WNW
20100104-15:00,Mist,10,0,0,86,,1016,0,0,12,0,0,WNW
20100104-18:00,Mist,10,0,0,89,,1016,0,0,11,0,0,West
20100104-21:00,Patches of Fog,10,1,0,92,,1014,0,0,10,0,0,WNW
20100105-00:00,Patches of Fog,10,1,0,98,,1014,0,0,10,0,0,WNW
20100105-03:00,Patches of Fog,9,1,0,90,,1015,0,0,11,0,0,West
20100105-06:00,Mist,10,0,0,75,,1016,0,0,14,0,0,West
20100105-09:00,Smoke,10,0,0,57,,1014,0,0,17,0,0,NW
20100105-12:00,Smoke,11,0,0,65,,1013,0,0,16,0,0,
20100105-15:00,Mist,10,0,0,93,,1015,0,0,11,0,0,
20100105-18:00,Patches of Fog,9,1,0,97,,1016,0,0,9,0,0,
20100105-21:00,Patches of Fog,8,1,0,99,,1015,0,0,9,0,0,
20100106-00:00,Partial Fog,6,1,0,94,,1016,0,0,6,0,0,
20100106-03:00,Partial Fog,6,1,0,89,,1018,0,0,6,0,0,
20100106-06:00,Partial Fog,11,1,0,69,,1017,0,0,16,0,0,East
20100106-09:00,Smoke,13,0,0,61,,1015,0,0,18,0,0,
20100106-12:00,Mist,13,0,0,82,,1015,0,0,15,0,0,
20100106-15:00,Patches of Fog,10,1,0,89,,1017,0,0,12,0,0,
20100106-18:00,Heavy Fog,9,1,0,97,,1017,0,0,9,0,0,
